date,ticker,headline
2023-01-09,AAPL,Apple expands services revenue as iPhone demand holds steady
2023-02-02,AAPL,Apple reports record quarter despite supply constraints
2023-05-25,NVDA,Nvidia guidance surges on soaring demand for AI data-centre chips
2023-01-25,TSLA,Tesla cuts vehicle prices to defend market share
2023-04-19,TSLA,Tesla margins narrow after aggressive price reductions
2023-03-10,JPM,JPMorgan steps in amid regional banking turmoil
2023-05-04,JPM,JPMorgan acquires failed regional bank assets
2023-01-24,MSFT,Microsoft deepens AI investment with expanded OpenAI partnership
2023-04-25,MSFT,Microsoft cloud growth accelerates on AI demand
2023-06-13,NVDA,Nvidia unveils new AI accelerator to extend data-centre lead
